"ResponseId","name","warm","study","competent"
"R_1nZOAz0xWWNBLrj","jermaine","34","bertrand","43"
"R_1nZOAz0xWWNBLrj","kareem","4","bertrand","38"
"R_1nZOAz0xWWNBLrj","leroy","52","bertrand","49"
"R_1nZOAz0xWWNBLrj","rasheed","3","bertrand","32"
"R_1nZOAz0xWWNBLrj","tremayne","45","bertrand","17"
"R_1nZOAz0xWWNBLrj","tyrone","49","bertrand","53"
"R_3DtChtrTMjh9uKP","allison","83","bertrand","80"
"R_3DtChtrTMjh9uKP","anne","80","bertrand","82"
"R_3DtChtrTMjh9uKP","carrie","77","bertrand","80"
"R_3DtChtrTMjh9uKP","emily","82","bertrand","77"
"R_3DtChtrTMjh9uKP","jill","78","bertrand","80"
"R_3DtChtrTMjh9uKP","laurie","80","bertrand","71"
"R_3DtChtrTMjh9uKP","kristen","75","bertrand","80"
"R_3DtChtrTMjh9uKP","meredith","80","bertrand","80"
"R_3DtChtrTMjh9uKP","sarah","80","bertrand","81"
"R_3DtChtrTMjh9uKP","brad","76","bertrand","76"
"R_3DtChtrTMjh9uKP","brendan","80","bertrand","80"
"R_3DtChtrTMjh9uKP","geoffrey","80","bertrand","82"
"R_3DtChtrTMjh9uKP","greg","77","bertrand","80"
"R_3DtChtrTMjh9uKP","brett","80","bertrand","81"
"R_3DtChtrTMjh9uKP","jay","80","bertrand","77"
"R_3DtChtrTMjh9uKP","matthew","81","bertrand","82"
"R_3DtChtrTMjh9uKP","neil","80","bertrand","74"
"R_3DtChtrTMjh9uKP","todd","77","bertrand","76"
"R_3DtChtrTMjh9uKP","aisha","82","bertrand","80"
"R_3DtChtrTMjh9uKP","ebony","80","bertrand","72"
"R_3DtChtrTMjh9uKP","keisha","81","bertrand","75"
"R_3DtChtrTMjh9uKP","kenya","80","bertrand","75"
"R_3DtChtrTMjh9uKP","lakisha","76","bertrand","80"
"R_3DtChtrTMjh9uKP","latonya","80","bertrand","77"
"R_3DtChtrTMjh9uKP","latoya","77","bertrand","80"
"R_3DtChtrTMjh9uKP","tamika","77","bertrand","80"
"R_3DtChtrTMjh9uKP","tanisha","77","bertrand","77"
"R_3DtChtrTMjh9uKP","darnell","81","bertrand","77"
"R_3DtChtrTMjh9uKP","hakim","70","bertrand","76"
"R_3DtChtrTMjh9uKP","jamal","70","bertrand","76"
"R_3DtChtrTMjh9uKP","jermaine","74","bertrand","80"
"R_3DtChtrTMjh9uKP","kareem","77","bertrand","78"
"R_3DtChtrTMjh9uKP","leroy","81","bertrand","77"
"R_3DtChtrTMjh9uKP","rasheed","80","bertrand","70"
"R_3DtChtrTMjh9uKP","tremayne","72","bertrand","75"
"R_3DtChtrTMjh9uKP","tyrone","70","bertrand","77"
"R_1rJioO9GY9PMhYx","allison","65","bertrand","60"
"R_1rJioO9GY9PMhYx","anne","55","bertrand","60"
"R_1rJioO9GY9PMhYx","carrie","65","bertrand","60"
"R_1rJioO9GY9PMhYx","emily","70","bertrand","60"
"R_1rJioO9GY9PMhYx","jill","60","bertrand","60"
"R_1rJioO9GY9PMhYx","laurie","60","bertrand","60"
"R_1rJioO9GY9PMhYx","kristen","65","bertrand","60"
"R_1rJioO9GY9PMhYx","meredith","60","bertrand","60"
"R_1rJioO9GY9PMhYx","sarah","65","bertrand","60"
"R_1rJioO9GY9PMhYx","brad","55","bertrand","60"
"R_1rJioO9GY9PMhYx","brendan","60","bertrand","60"
"R_1rJioO9GY9PMhYx","geoffrey","50","bertrand","60"
"R_1rJioO9GY9PMhYx","greg","50","bertrand","60"
"R_1rJioO9GY9PMhYx","brett","60","bertrand","60"
"R_1rJioO9GY9PMhYx","jay","65","bertrand","60"
"R_1rJioO9GY9PMhYx","matthew","60","bertrand","60"
"R_1rJioO9GY9PMhYx","neil","55","bertrand","60"
"R_1rJioO9GY9PMhYx","todd","60","bertrand","60"
"R_1rJioO9GY9PMhYx","aisha","65","bertrand","65"
"R_1rJioO9GY9PMhYx","ebony","75","bertrand","60"
"R_1rJioO9GY9PMhYx","keisha","60","bertrand","60"
